x1,y1,r1,g1,b1,x2,y2,r2,g2,b2,x3,y3,r3,g3,b3
1704,848,0,235,235,1721,879,0,152,152,1672,863,64,146,146
1718,1080,0,138,138,1756,1104,0,210,210,1731,1105,64,175,175
1756,1104,0,210,210,1718,1080,0,138,138,1785,1088,64,163,163
1509,44,0,185,185,1364,36,0,232,232,1304,29,64,239,239
1364,36,0,232,232,1509,44,0,185,185,1445,52,64,217,217
1364,36,0,232,232,1329,50,0,233,233,1304,29,64,239,239
1487,1063,0,154,154,1512,1093,0,176,176,1483,1100,64,187,187
1512,1093,0,176,176,1487,1063,0,154,154,1511,1068,64,154,154
1672,863,0,146,146,1494,1011,0,207,207,1613,834,64,175,175
1595,1094,0,162,162,1631,1113,0,132,132,1577,1123,64,182,182
1427,767,0,103,103,1290,647,0,79,79,1385,545,64,185,185
1427,767,0,103,103,1385,545,0,185,185,1454,548,64,184,184
1327,185,0,191,191,1273,274,0,37,37,1262,189,64,203,203
1273,274,0,37,37,1327,185,0,191,191,1366,196,64,235,235
348,992,0,45,45,307,998,0,41,41,317,956,64,23,23
307,998,0,41,41,348,992,0,45,45,330,1018,64,41,41
384,1061,0,82,82,343,1059,0,88,88,380,1036,64,82,82
343,1059,0,88,88,384,1061,0,82,82,355,1084,64,72,72
343,1059,0,88,88,303,1061,0,79,79,340,1042,64,68,68
303,1061,0,79,79,343,1059,0,88,88,310,1076,64,87,87
1511,1068,0,154,154,1487,1063,0,154,154,1494,1011,64,207,207
1487,1063,0,154,154,1483,1100,0,187,187,1455,1075,64,184,184
1408,785,0,162,162,1457,801,0,111,111,1416,832,64,172,172
1457,801,0,111,111,1408,785,0,162,162,1427,767,64,103,103
1050,277,0,238,238,1192,443,0,201,201,1002,371,64,37,37
1192,443,0,201,201,1050,277,0,238,238,1233,371,64,156,156
1181,491,0,191,191,1196,464,0,139,139,1215,483,64,203,203
1196,464,0,139,139,1192,443,0,201,201,1219,445,64,140,140
1192,443,0,201,201,1196,464,0,139,139,1166,467,64,220,220
1755,495,0,152,152,1727,541,0,122,122,1705,488,64,191,191
1727,541,0,122,122,1755,495,0,152,152,1775,547,64,166,166
1824,309,0,229,229,1794,326,0,176,176,1816,284,64,82,82
1805,354,0,235,235,1832,385,0,182,182,1787,388,64,146,146
1832,385,0,182,182,1805,354,0,235,235,1831,333,64,226,226
